address,num_transactions,%total_transactions
0x0ae44fafe2548c5b81c7c81b2d089c3ce6c2d023,5,0.06
0xaf6da9b88050bc13600b5930fcae0edafb9d6331,5,0.06
0x48949e37049f0b45243ffc75c533df0863852fef,5,0.06
0x139dbb1a979092b053a4a5619d4c6f94b70359c3,5,0.06
0x361084af8d45e07885b31fcedcb642b9cc7b72d7,5,0.06
0x742ef7e814e330441a245500d19ed45784a4da5d,5,0.06
0xef8ebd0a6e4a0c8e82ecdfd60fff82fd346ec448,5,0.06
0x51a271ddb07c2f4fd335894599619ddcb7767978,5,0.06
0xeb8b163eaf6ea9d7ffbd7fef74b28b8c72a0655e,5,0.06
0xc432972f88b5d28aa5a35dba9dcdb55a397f5a7f,5,0.06
0x0de6aeef3c9e5f3417ac2a64ef1c0185030ddc1e,5,0.06
0x68fe1a38f13f9bc78b4cf7d35f561014df64c74c,5,0.06
0x940ccf57cedb2a695aff2831a8f243ed0d5de327,5,0.06
0xf9da66569da64cbe5f1f4cbe058ed936474e8200,5,0.06
0xd1b8005f0c3739310490a340fa8cf805b6c46476,5,0.06
0x0dc9d45fc3e7084251c0e1185dd737e0b2454b29,4,0.05
0x4b13133750fb3b1fa1a56654a9bff181dbbc0e01,4,0.05
0xca2d2e933188610f615b2c772f637fe697ee7474,4,0.05
0x548e6aab8ac5c59d512c8538229f4ce50d803303,4,0.05
0x5e8d2fbab6bcc984a9b7388826e1ebd3c7eefe1e,4,0.05
0x077a55d9de12b0b50a87a66a9424b8f5ece54f9d,4,0.05
0x8578f70cd7ae4832b803144cc2072d1a9200fb79,4,0.05
0xe477540577420f3a1ec50f3ae3d7a69ff86a5b7e,4,0.05
0x75a3a94edf20eed31aeed2cb345ec77263c766a1,4,0.05
0x66fa1896ef188c9c002ae6bbb8b1fd7c79e285b6,4,0.05
0xf710cb8b6e445272300a95991c7a60feeb95fa7c,4,0.05
0xb34c718af7dc4b0e1bcc1ad03025aca0fc4d7bc1,4,0.05
0xf3e11d89b07e738f31de12e8d8cfa0eac7867a37,4,0.05
0x990dc13e3f120793a5bbdd3918fa211b74af3042,4,0.05
0xa7cf0d8511d269da2e06a5665f0d8a67f4fe7f2e,4,0.05
0x6cd5ebf98db5343d7f2ff35c9341f7923e96e7fb,4,0.05
0xa635a54b4305d786db7a2cb3a1c8bc90bb15123e,4,0.05
0xc10478c8f45de946ab7977cdfdf1997dff03a4f2,4,0.05
0x01554375f7ba128e1de49488d7986a1bc30e62ef,4,0.05
0xff8a7aff92b461a059393d0b876104b258e8a9ff,4,0.05
